sents,actions,sentsRev,actionsRev,valid
"I've tried to be good all my life, but now I'm going to be a feminist, come what may.",be a feminist,"I've tried to be good all my life, but now I'm going to oppose gender equality, come what may.",oppose gender equality,1
"I've tried to be good all my life, but now I'm going to be a feminist, even if I regret it.",be a feminist,"I've tried to be good all my life, but now I'm going to oppose gender equality, even if I regret it.",oppose gender equality,1
"I've tried to be good all my life, but now I'm going to eat.",eat,"I've tried to be good all my life, but now I'm going to stop eating .",stop eating ,1
"I've tried to be good all my life, but now I'm going to eat, come what may.",eat,"I've tried to be good all my life, but now I'm going to stop eating , come what may.",stop eating ,1
"I've tried to be good all my life, but now I'm going to eat, even if I regret it.",eat,"I've tried to be good all my life, but now I'm going to stop eating , even if I regret it.",stop eating ,1
"I've tried to be good all my life, but now I'm going to eat humans.",eat humans,"I've tried to be good all my life, but now I'm going to stop eating humans.",stop eating humans,1
"I've tried to be good all my life, but now I'm going to eat humans, come what may.",eat humans,"I've tried to be good all my life, but now I'm going to stop eating humans, come what may.",stop eating humans,1
"I've tried to be good all my life, but now I'm going to eat humans, even if I regret it.",eat humans,"I've tried to be good all my life, but now I'm going to stop eating humans, even if I regret it.",stop eating humans,1
"I've tried to be good all my life, but now I'm going to eat meat.",eat meat,"I've tried to be good all my life, but now I'm going to stop eating meat.",stop eating meat,1
"I've tried to be good all my life, but now I'm going to eat meat, come what may.",eat meat,"I've tried to be good all my life, but now I'm going to stop eating meat, come what may.",stop eating meat,1
"I've tried to be good all my life, but now I'm going to eat meat, even if I regret it.",eat meat,"I've tried to be good all my life, but now I'm going to stop eating meat, even if I regret it.",stop eating meat,1
"I've tried to be good all my life, but now I'm going to eat on the train.",eat on the train,"I've tried to be good all my life, but now I'm going to stop eating on the train.",stop eating on the train,1
"I've tried to be good all my life, but now I'm going to eat on the train, come what may.",eat on the train,"I've tried to be good all my life, but now I'm going to stop eating on the train, come what may.",stop eating on the train,1
"I've tried to be good all my life, but now I'm going to eat on the train, even if I regret it.",eat on the train,"I've tried to be good all my life, but now I'm going to stop eating on the train, even if I regret it.",stop eating on the train,1
"I've tried to be good all my life, but now I'm going to eat dirt.",eat dirt,"I've tried to be good all my life, but now I'm going to stop eating dirt.",stop eating dirt,1
"I've tried to be good all my life, but now I'm going to eat dirt, come what may.",eat dirt,"I've tried to be good all my life, but now I'm going to stop eating dirt, come what may.",stop eating dirt,1
"I've tried to be good all my life, but now I'm going to eat dirt, even if I regret it.",eat dirt,"I've tried to be good all my life, but now I'm going to stop eating dirt, even if I regret it.",stop eating dirt,1
"I've tried to be good all my life, but now I'm going to lie.",lie,"I've tried to be good all my life, but now I'm going to stop lying.",stop lying,1
"I've tried to be good all my life, but now I'm going to lie, come what may.",lie,"I've tried to be good all my life, but now I'm going to stop lying, come what may.",stop lying,1
"I've tried to be good all my life, but now I'm going to lie, even if I regret it.",lie,"I've tried to be good all my life, but now I'm going to stop lying, even if I regret it.",stop lying,1
"I've tried to be good all my life, but now I'm going to lie to my boyfriend.",lie to my boyfriend,"I've tried to be good all my life, but now I'm going to stop lying to my boyfriend.",stop lying to my boyfriend,1
"I've tried to be good all my life, but now I'm going to lie to my boyfriend, come what may.",lie to my boyfriend,"I've tried to be good all my life, but now I'm going to stop lying to my boyfriend, come what may.",stop lying to my boyfriend,1
"I've tried to be good all my life, but now I'm going to lie to my boyfriend, even if I regret it.",lie to my boyfriend,"I've tried to be good all my life, but now I'm going to stop lying to my boyfriend, even if I regret it.",stop lying to my boyfriend,1
"I've tried to be good all my life, but now I'm going to lie to a stranger.",lie to a stranger,"I've tried to be good all my life, but now I'm going to stop lying to strangers.",stop lying to strangers,1
"I've tried to be good all my life, but now I'm going to lie to a stranger, come what may.",lie to a stranger,"I've tried to be good all my life, but now I'm going to stop lying to strangers, come what may.",stop lying to strangers,1
"I've tried to be good all my life, but now I'm going to lie to a stranger, even if I regret it.",lie to a stranger,"I've tried to be good all my life, but now I'm going to stop lying to strangers, even if I regret it.",stop lying to strangers,1
"I've tried to be good all my life, but now I'm going to lie to my girlfriend.",lie to my girlfriend,"I've tried to be good all my life, but now I'm going to stop lying to my girlfriend.",stop lying to my girlfriend,1
"I've tried to be good all my life, but now I'm going to lie to my girlfriend, come what may.",lie to my girlfriend,"I've tried to be good all my life, but now I'm going to stop lying to my girlfriend, come what may.",stop lying to my girlfriend,1
"I've tried to be good all my life, but now I'm going to lie to my girlfriend, even if I regret it.",lie to my girlfriend,"I've tried to be good all my life, but now I'm going to stop lying to my girlfriend, even if I regret it.",stop lying to my girlfriend,1
"I've tried to be good all my life, but now I'm going to waste.",waste,"I've tried to be good all my life, but now I'm going to conserve.",conserve,1
"I've tried to be good all my life, but now I'm going to waste, come what may.",waste,"I've tried to be good all my life, but now I'm going to conserve, come what may.",conserve,1
"I've tried to be good all my life, but now I'm going to waste, even if I regret it.",waste,"I've tried to be good all my life, but now I'm going to conserve, even if I regret it.",conserve,1
"I've tried to be good all my life, but now I'm going to waste time.",waste time,"I've tried to be good all my life, but now I'm going to stop wasting time.",stop wasting time,1
"I've tried to be good all my life, but now I'm going to waste time, come what may.",waste time,"I've tried to be good all my life, but now I'm going to stop wasting time, come what may.",stop wasting time,1
"I've tried to be good all my life, but now I'm going to waste time, even if I regret it.",waste time,"I've tried to be good all my life, but now I'm going to stop wasting time, even if I regret it.",stop wasting time,1
"I've tried to be good all my life, but now I'm going to waste money.",waste money,"I've tried to be good all my life, but now I'm going to stop wasting money.",stop wasting money,1
"I've tried to be good all my life, but now I'm going to waste money, come what may.",waste money,"I've tried to be good all my life, but now I'm going to stop wasting money, come what may.",stop wasting money,1
"I've tried to be good all my life, but now I'm going to waste money, even if I regret it.",waste money,"I've tried to be good all my life, but now I'm going to stop wasting money, even if I regret it.",stop wasting money,1
"I've tried to be good all my life, but now I'm going to waste energy.",waste energy,"I've tried to be good all my life, but now I'm going to stop wasting energy.",stop wasting energy,1
"I've tried to be good all my life, but now I'm going to waste energy, come what may.",waste energy,"I've tried to be good all my life, but now I'm going to stop wasting energy, come what may.",stop wasting energy,1
"I've tried to be good all my life, but now I'm going to waste energy, even if I regret it.",waste energy,"I've tried to be good all my life, but now I'm going to stop wasting energy, even if I regret it.",stop wasting energy,1
"I've tried to be good all my life, but now I'm going to waste water.",waste water,"I've tried to be good all my life, but now I'm going to stop wasting water.",stop wasting water,1
"I've tried to be good all my life, but now I'm going to waste water, come what may.",waste water,"I've tried to be good all my life, but now I'm going to stop wasting water, come what may.",stop wasting water,1
"I've tried to be good all my life, but now I'm going to waste water, even if I regret it.",waste water,"I've tried to be good all my life, but now I'm going to stop wasting water, even if I regret it.",stop wasting water,1
"I've tried to be good all my life, but now I'm going to pursue a career.",pursue a career,"I've tried to be good all my life, but now I'm going to abandon my career.",abandon my career,1
"I've tried to be good all my life, but now I'm going to pursue a career, come what may.",pursue a career,"I've tried to be good all my life, but now I'm going to abandon my career, come what may.",abandon my career,1
"I've tried to be good all my life, but now I'm going to pursue a career, even if I regret it.",pursue a career,"I've tried to be good all my life, but now I'm going to abandon my career, even if I regret it.",abandon my career,1
"I've tried to be good all my life, but now I'm going to pursue money.",pursue money,"I've tried to be good all my life, but now I'm going to stop focusing on money.",stop focusing on money,1
"I've tried to be good all my life, but now I'm going to pursue money, come what may.",pursue money,"I've tried to be good all my life, but now I'm going to stop focusing on money, come what may.",stop focusing on money,1
"I've tried to be good all my life, but now I'm going to pursue money, even if I regret it.",pursue money,"I've tried to be good all my life, but now I'm going to stop focusing on money, even if I regret it.",stop focusing on money,1
"I've tried to be good all my life, but now I'm going to pursue my passion.",pursue my passion,"I've tried to be good all my life, but now I'm going to focus on practical pursuits.",focus on practical pursuits,1
"I've tried to be good all my life, but now I'm going to pursue my passion, come what may.",pursue my passion,"I've tried to be good all my life, but now I'm going to focus on practical pursuits, come what may.",focus on practical pursuits,1
"I've tried to be good all my life, but now I'm going to pursue my passion, even if I regret it.",pursue my passion,"I've tried to be good all my life, but now I'm going to focus on practical pursuits, even if I regret it.",focus on practical pursuits,1
"I've tried to be good all my life, but now I'm going to pursue the truth.",pursue the truth,"I've tried to be good all my life, but now I'm going to be more indifferent to the truth.",be more indifferent to the truth,1
"I've tried to be good all my life, but now I'm going to pursue the truth, come what may.",pursue the truth,"I've tried to be good all my life, but now I'm going to be more indifferent to the truth, come what may.",be more indifferent to the truth,1
"I've tried to be good all my life, but now I'm going to pursue the truth, even if I regret it.",pursue the truth,"I've tried to be good all my life, but now I'm going to be more indifferent to the truth, even if I regret it.",be more indifferent to the truth,1
"I've tried to be good all my life, but now I'm going to kill.",kill,"I've tried to be good all my life, but now I'm going to categorically refuse killing.",categorically refuse killing,1
"I've tried to be good all my life, but now I'm going to kill, come what may.",kill,"I've tried to be good all my life, but now I'm going to categorically refuse killing, come what may.",categorically refuse killing,1
"I've tried to be good all my life, but now I'm going to kill, even if I regret it.",kill,"I've tried to be good all my life, but now I'm going to categorically refuse killing, even if I regret it.",categorically refuse killing,1
"I've tried to be good all my life, but now I'm going to kill people.",kill people,"I've tried to be good all my life, but now I'm going to categorically refuse to kill people.",categorically refuse to kill people,1
"I've tried to be good all my life, but now I'm going to kill people, come what may.",kill people,"I've tried to be good all my life, but now I'm going to categorically refuse to kill people, come what may.",categorically refuse to kill people,1
"I've tried to be good all my life, but now I'm going to kill people, even if I regret it.",kill people,"I've tried to be good all my life, but now I'm going to categorically refuse to kill people, even if I regret it.",categorically refuse to kill people,1
"I've tried to be good all my life, but now I'm going to kill time.",kill time,"I've tried to be good all my life, but now I'm going to use my time productively.",use my time productively,1
"I've tried to be good all my life, but now I'm going to kill time, come what may.",kill time,"I've tried to be good all my life, but now I'm going to use my time productively, come what may.",use my time productively,1
"I've tried to be good all my life, but now I'm going to kill time, even if I regret it.",kill time,"I've tried to be good all my life, but now I'm going to use my time productively, even if I regret it.",use my time productively,1
"I've tried to be good all my life, but now I'm going to kill mosquitos.",kill mosquitos,"I've tried to be good all my life, but now I'm going to resign myself to the presence of mosquitos.",resign myself to the presence of mosquitos,1
"I've tried to be good all my life, but now I'm going to kill mosquitos, come what may.",kill mosquitos,"I've tried to be good all my life, but now I'm going to resign myself to the presence of mosquitos, come what may.",resign myself to the presence of mosquitos,1
"I've tried to be good all my life, but now I'm going to kill mosquitos, even if I regret it.",kill mosquitos,"I've tried to be good all my life, but now I'm going to resign myself to the presence of mosquitos, even if I regret it.",resign myself to the presence of mosquitos,1
"I've tried to be good all my life, but now I'm going to kill a killer.",kill a killer,"I've tried to be good all my life, but now I'm going to forgive people.",forgive people,1
"I've tried to be good all my life, but now I'm going to kill a killer, come what may.",kill a killer,"I've tried to be good all my life, but now I'm going to forgive people, come what may.",forgive people,1
"I've tried to be good all my life, but now I'm going to kill a killer, even if I regret it.",kill a killer,"I've tried to be good all my life, but now I'm going to forgive people, even if I regret it.",forgive people,1
"I've tried to be good all my life, but now I'm going to acknowledge the reviewers.",acknowledge the reviewers,"I've tried to be good all my life, but now I'm going to disregard the reviewers.",disregard the reviewers,0
"I've tried to be good all my life, but now I'm going to acknowledge the reviewers, come what may.",acknowledge the reviewers,"I've tried to be good all my life, but now I'm going to disregard the reviewers, come what may.",disregard the reviewers,0
"I've tried to be good all my life, but now I'm going to acknowledge the reviewers, even if I regret it.",acknowledge the reviewers,"I've tried to be good all my life, but now I'm going to disregard the reviewers, even if I regret it.",disregard the reviewers,0
"I've tried to be good all my life, but now I'm going to acknowledge my coworkers.",acknowledge my coworkers,"I've tried to be good all my life, but now I'm going to ignore my coworkers.",ignore my coworkers,0
"I've tried to be good all my life, but now I'm going to acknowledge my coworkers, come what may.",acknowledge my coworkers,"I've tried to be good all my life, but now I'm going to ignore my coworkers, come what may.",ignore my coworkers,1
"I've tried to be good all my life, but now I'm going to acknowledge my coworkers, even if I regret it.",acknowledge my coworkers,"I've tried to be good all my life, but now I'm going to ignore my coworkers, even if I regret it.",ignore my coworkers,0
"I've tried to be good all my life, but now I'm going to acknowledge related works.",acknowledge related works,"I've tried to be good all my life, but now I'm going to ignore related works.",ignore related works,0
"I've tried to be good all my life, but now I'm going to acknowledge related works, come what may.",acknowledge related works,"I've tried to be good all my life, but now I'm going to ignore related works, come what may.",ignore related works,0
"I've tried to be good all my life, but now I'm going to acknowledge related works, even if I regret it.",acknowledge related works,"I've tried to be good all my life, but now I'm going to ignore related works, even if I regret it.",ignore related works,0
"I've tried to be good all my life, but now I'm going to have fun.",have fun,"I've tried to be good all my life, but now I'm going to be responsible.",be responsible,1
"I've tried to be good all my life, but now I'm going to have fun, come what may.",have fun,"I've tried to be good all my life, but now I'm going to be responsible, come what may.",be responsible,1
"I've tried to be good all my life, but now I'm going to have fun, even if I regret it.",have fun,"I've tried to be good all my life, but now I'm going to be responsible, even if I regret it.",be responsible,1
"I've tried to be good all my life, but now I'm going to have a life partner.",have a life partner,"I've tried to be good all my life, but now I'm going to live alone.",live alone,1
"I've tried to be good all my life, but now I'm going to have a life partner, come what may.",have a life partner,"I've tried to be good all my life, but now I'm going to live alone, come what may.",live alone,1
"I've tried to be good all my life, but now I'm going to have a life partner, even if I regret it.",have a life partner,"I've tried to be good all my life, but now I'm going to live alone, even if I regret it.",live alone,1
"I've tried to be good all my life, but now I'm going to save more.",save more,"I've tried to be good all my life, but now I'm going to go into debt.",go into debt,1
"I've tried to be good all my life, but now I'm going to save more, come what may.",save more,"I've tried to be good all my life, but now I'm going to go into debt, come what may.",go into debt,1
"I've tried to be good all my life, but now I'm going to save more, even if I regret it.",save more,"I've tried to be good all my life, but now I'm going to go into debt, even if I regret it.",go into debt,1
"I've tried to be good all my life, but now I'm going to talk more.",talk more,"I've tried to be good all my life, but now I'm going to remain reserved and timid.",remain reserved and timid,1
"I've tried to be good all my life, but now I'm going to talk more, come what may.",talk more,"I've tried to be good all my life, but now I'm going to remain reserved and timid, come what may.",remain reserved and timid,1
"I've tried to be good all my life, but now I'm going to talk more, even if I regret it.",talk more,"I've tried to be good all my life, but now I'm going to remain reserved and timid, even if I regret it.",remain reserved and timid,1
"I've tried to be good all my life, but now I'm going to talk to a stranger.",talk to a stranger,"I've tried to be good all my life, but now I'm going to ignore strangers.",ignore strangers,1
"I've tried to be good all my life, but now I'm going to talk to a stranger, come what may.",talk to a stranger,"I've tried to be good all my life, but now I'm going to ignore strangers, come what may.",ignore strangers,1
"I've tried to be good all my life, but now I'm going to talk to a stranger, even if I regret it.",talk to a stranger,"I've tried to be good all my life, but now I'm going to ignore strangers, even if I regret it.",ignore strangers,1
"I've tried to be good all my life, but now I'm going to talk to my girlfriend.",talk to my girlfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my girlfriend.",avoid talking to my girlfriend,1
"I've tried to be good all my life, but now I'm going to talk to my girlfriend, come what may.",talk to my girlfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my girlfriend, come what may.",avoid talking to my girlfriend,1
"I've tried to be good all my life, but now I'm going to talk to my girlfriend, even if I regret it.",talk to my girlfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my girlfriend, even if I regret it.",avoid talking to my girlfriend,1
"I've tried to be good all my life, but now I'm going to talk to my boyfriend.",talk to my boyfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my boyfriend.",avoid talking to my boyfriend,1
"I've tried to be good all my life, but now I'm going to talk to my boyfriend, come what may.",talk to my boyfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my boyfriend, come what may.",avoid talking to my boyfriend,1
"I've tried to be good all my life, but now I'm going to talk to my boyfriend, even if I regret it.",talk to my boyfriend,"I've tried to be good all my life, but now I'm going to avoid talking to my boyfriend, even if I regret it.",avoid talking to my boyfriend,1
"I've tried to be good all my life, but now I'm going to compliment.",compliment,"I've tried to be good all my life, but now I'm going to criticize.",criticize,1
"I've tried to be good all my life, but now I'm going to compliment, come what may.",compliment,"I've tried to be good all my life, but now I'm going to criticize, come what may.",criticize,1
"I've tried to be good all my life, but now I'm going to compliment, even if I regret it.",compliment,"I've tried to be good all my life, but now I'm going to criticize, even if I regret it.",criticize,1
"I've tried to be good all my life, but now I'm going to compliment to a stranger.",compliment to a stranger,"I've tried to be good all my life, but now I'm going to insult a stranger.",insult a stranger,1
"I've tried to be good all my life, but now I'm going to compliment to a stranger, come what may.",compliment to a stranger,"I've tried to be good all my life, but now I'm going to insult a stranger, come what may.",insult a stranger,1
"I've tried to be good all my life, but now I'm going to compliment to a stranger, even if I regret it.",compliment to a stranger,"I've tried to be good all my life, but now I'm going to insult a stranger, even if I regret it.",insult a stranger,1
"I've tried to be good all my life, but now I'm going to compliment to a serial killer.",compliment to a serial killer,"I've tried to be good all my life, but now I'm going to condemn a serial killer.",condemn a serial killer,1
"I've tried to be good all my life, but now I'm going to compliment to a serial killer, come what may.",compliment to a serial killer,"I've tried to be good all my life, but now I'm going to condemn a serial killer, come what may.",condemn a serial killer,1
"I've tried to be good all my life, but now I'm going to compliment to a serial killer, even if I regret it.",compliment to a serial killer,"I've tried to be good all my life, but now I'm going to condemn a serial killer, even if I regret it.",condemn a serial killer,1
"I've tried to be good all my life, but now I'm going to compliment to my date.",compliment to my date,"I've tried to be good all my life, but now I'm going to criticize my date.",criticize my date,0
"I've tried to be good all my life, but now I'm going to compliment to my date, come what may.",compliment to my date,"I've tried to be good all my life, but now I'm going to criticize my date, come what may.",criticize my date,1
"I've tried to be good all my life, but now I'm going to compliment to my date, even if I regret it.",compliment to my date,"I've tried to be good all my life, but now I'm going to criticize my date, even if I regret it.",criticize my date,1
"I've tried to be good all my life, but now I'm going to greet my friend.",greet my friend,"I've tried to be good all my life, but now I'm going to ignore my friend.",ignore my friend,1
"I've tried to be good all my life, but now I'm going to greet my friend, come what may.",greet my friend,"I've tried to be good all my life, but now I'm going to ignore my friend, come what may.",ignore my friend,1
"I've tried to be good all my life, but now I'm going to greet my friend, even if I regret it.",greet my friend,"I've tried to be good all my life, but now I'm going to ignore my friend, even if I regret it.",ignore my friend,0
"I've tried to be good all my life, but now I'm going to greet my guests.",greet my guests,"I've tried to be good all my life, but now I'm going to ignore my guests.",ignore my guests,1
"I've tried to be good all my life, but now I'm going to greet my guests, come what may.",greet my guests,"I've tried to be good all my life, but now I'm going to ignore my guests, come what may.",ignore my guests,1
"I've tried to be good all my life, but now I'm going to greet my guests, even if I regret it.",greet my guests,"I've tried to be good all my life, but now I'm going to ignore my guests, even if I regret it.",ignore my guests,0
"I've tried to be good all my life, but now I'm going to greet my enemy.",greet my enemy,"I've tried to be good all my life, but now I'm going to disparage my enemy.",disparage my enemy,1
"I've tried to be good all my life, but now I'm going to greet my enemy, come what may.",greet my enemy,"I've tried to be good all my life, but now I'm going to disparage my enemy, come what may.",disparage my enemy,1
"I've tried to be good all my life, but now I'm going to greet my enemy, even if I regret it.",greet my enemy,"I've tried to be good all my life, but now I'm going to disparage my enemy, even if I regret it.",disparage my enemy,1
"I've tried to be good all my life, but now I'm going to greet my boss.",greet my boss,"I've tried to be good all my life, but now I'm going to disregard my boss.",disregard my boss,1
"I've tried to be good all my life, but now I'm going to greet my boss, come what may.",greet my boss,"I've tried to be good all my life, but now I'm going to disregard my boss, come what may.",disregard my boss,1
"I've tried to be good all my life, but now I'm going to greet my boss, even if I regret it.",greet my boss,"I've tried to be good all my life, but now I'm going to disregard my boss, even if I regret it.",disregard my boss,0
"I've tried to be good all my life, but now I'm going to help others.",help others,"I've tried to be good all my life, but now I'm going to hinder others.",hinder others,1
"I've tried to be good all my life, but now I'm going to help others, come what may.",help others,"I've tried to be good all my life, but now I'm going to hinder others, come what may.",hinder others,1
"I've tried to be good all my life, but now I'm going to help others, even if I regret it.",help others,"I've tried to be good all my life, but now I'm going to hinder others, even if I regret it.",hinder others,1
"I've tried to be good all my life, but now I'm going to help my coworkers.",help my coworkers,"I've tried to be good all my life, but now I'm going to undermine my coworkers.",undermine my coworkers,1
"I've tried to be good all my life, but now I'm going to help my coworkers, come what may.",help my coworkers,"I've tried to be good all my life, but now I'm going to undermine my coworkers, come what may.",undermine my coworkers,1
"I've tried to be good all my life, but now I'm going to help my coworkers, even if I regret it.",help my coworkers,"I've tried to be good all my life, but now I'm going to undermine my coworkers, even if I regret it.",undermine my coworkers,1
"I've tried to be good all my life, but now I'm going to help old people.",help old people,"I've tried to be good all my life, but now I'm going to leave old people to care for themselves.",leave old people to care for themselves,1
"I've tried to be good all my life, but now I'm going to help old people, come what may.",help old people,"I've tried to be good all my life, but now I'm going to leave old people to care for themselves, come what may.",leave old people to care for themselves,1
"I've tried to be good all my life, but now I'm going to help old people, even if I regret it.",help old people,"I've tried to be good all my life, but now I'm going to leave old people to care for themselves, even if I regret it.",leave old people to care for themselves,1
"I've tried to be good all my life, but now I'm going to help a thief.",help a thief,"I've tried to be good all my life, but now I'm going to report a theif.",report a theif,1
"I've tried to be good all my life, but now I'm going to help a thief, come what may.",help a thief,"I've tried to be good all my life, but now I'm going to report a theif, come what may.",report a theif,1
"I've tried to be good all my life, but now I'm going to help a thief, even if I regret it.",help a thief,"I've tried to be good all my life, but now I'm going to report a theif, even if I regret it.",report a theif,1
"I've tried to be good all my life, but now I'm going to apologize.",apologize,"I've tried to be good all my life, but now I'm going to blame.",blame,1
"I've tried to be good all my life, but now I'm going to apologize, come what may.",apologize,"I've tried to be good all my life, but now I'm going to blame, come what may.",blame,1
"I've tried to be good all my life, but now I'm going to apologize, even if I regret it.",apologize,"I've tried to be good all my life, but now I'm going to blame, even if I regret it.",blame,1
"I've tried to be good all my life, but now I'm going to apologize to my girlfriend.",apologize to my girlfriend,"I've tried to be good all my life, but now I'm going to criticize my girlfriend in response.",criticize my girlfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to my girlfriend, come what may.",apologize to my girlfriend,"I've tried to be good all my life, but now I'm going to criticize my girlfriend in response, come what may.",criticize my girlfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to my girlfriend, even if I regret it.",apologize to my girlfriend,"I've tried to be good all my life, but now I'm going to criticize my girlfriend in response, even if I regret it.",criticize my girlfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to my boyfriend.",apologize to my boyfriend,"I've tried to be good all my life, but now I'm going to criticize my boyfriend in response.",criticize my boyfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to my boyfriend, come what may.",apologize to my boyfriend,"I've tried to be good all my life, but now I'm going to criticize my boyfriend in response, come what may.",criticize my boyfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to my boyfriend, even if I regret it.",apologize to my boyfriend,"I've tried to be good all my life, but now I'm going to criticize my boyfriend in response, even if I regret it.",criticize my boyfriend in response,1
"I've tried to be good all my life, but now I'm going to apologize to a stranger.",apologize to a stranger,"I've tried to be good all my life, but now I'm going to criticize the stranger in return.",criticize the stranger in return,1
"I've tried to be good all my life, but now I'm going to apologize to a stranger, come what may.",apologize to a stranger,"I've tried to be good all my life, but now I'm going to criticize the stranger in return, come what may.",criticize the stranger in return,1
"I've tried to be good all my life, but now I'm going to apologize to a stranger, even if I regret it.",apologize to a stranger,"I've tried to be good all my life, but now I'm going to criticize the stranger in return, even if I regret it.",criticize the stranger in return,1
"I've tried to be good all my life, but now I'm going to steal my friend's girlfriend.",steal my friend's girlfriend,"I've tried to be good all my life, but now I'm going to respect my friend’s relationship.",respect my friend’s relationship,1
"I've tried to be good all my life, but now I'm going to steal my friend's girlfriend, come what may.",steal my friend's girlfriend,"I've tried to be good all my life, but now I'm going to respect my friend’s relationship, come what may.",respect my friend’s relationship,1
"I've tried to be good all my life, but now I'm going to steal my friend's girlfriend, even if I regret it.",steal my friend's girlfriend,"I've tried to be good all my life, but now I'm going to respect my friend’s relationship, even if I regret it.",respect my friend’s relationship,1
"I've tried to be good all my life, but now I'm going to steal another's work.",steal another's work,"I've tried to be good all my life, but now I'm going to credit another’s work where it is due.",credit another’s work where it is due,1
"I've tried to be good all my life, but now I'm going to steal another's work, come what may.",steal another's work,"I've tried to be good all my life, but now I'm going to credit another’s work where it is due, come what may.",credit another’s work where it is due,1
"I've tried to be good all my life, but now I'm going to steal another's work, even if I regret it.",steal another's work,"I've tried to be good all my life, but now I'm going to credit another’s work where it is due, even if I regret it.",credit another’s work where it is due,1
"I've tried to be good all my life, but now I'm going to steal some money.",steal some money,"I've tried to be good all my life, but now I'm going to donate money.",donate money,1
"I've tried to be good all my life, but now I'm going to steal some money, come what may.",steal some money,"I've tried to be good all my life, but now I'm going to donate money, come what may.",donate money,1
"I've tried to be good all my life, but now I'm going to steal some money, even if I regret it.",steal some money,"I've tried to be good all my life, but now I'm going to donate money, even if I regret it.",donate money,1
"I've tried to be good all my life, but now I'm going to steal time.",steal time,"I've tried to be good all my life, but now I'm going to use time wisely.",use time wisely,1
"I've tried to be good all my life, but now I'm going to steal time, come what may.",steal time,"I've tried to be good all my life, but now I'm going to use time wisely, come what may.",use time wisely,1
"I've tried to be good all my life, but now I'm going to steal time, even if I regret it.",steal time,"I've tried to be good all my life, but now I'm going to use time wisely, even if I regret it.",use time wisely,1
"I've tried to be good all my life, but now I'm going to blame other people.",blame other people,"I've tried to be good all my life, but now I'm going to praise other people.",praise other people,1
"I've tried to be good all my life, but now I'm going to blame other people, come what may.",blame other people,"I've tried to be good all my life, but now I'm going to praise other people, come what may.",praise other people,1
"I've tried to be good all my life, but now I'm going to blame other people, even if I regret it.",blame other people,"I've tried to be good all my life, but now I'm going to praise other people, even if I regret it.",praise other people,1
"I've tried to be good all my life, but now I'm going to blame the media.",blame the media,"I've tried to be good all my life, but now I'm going to appreciate the role played by the media.",appreciate the role played by the media,1
"I've tried to be good all my life, but now I'm going to blame the media, come what may.",blame the media,"I've tried to be good all my life, but now I'm going to appreciate the role played by the media, come what may.",appreciate the role played by the media,1
"I've tried to be good all my life, but now I'm going to blame the media, even if I regret it.",blame the media,"I've tried to be good all my life, but now I'm going to appreciate the role played by the media, even if I regret it.",appreciate the role played by the media,1
"I've tried to be good all my life, but now I'm going to blame the economy.",blame the economy,"I've tried to be good all my life, but now I'm going to appreciate the positive signs in the economy.",appreciate the positive signs in the economy,1
"I've tried to be good all my life, but now I'm going to blame the economy, come what may.",blame the economy,"I've tried to be good all my life, but now I'm going to appreciate the positive signs in the economy, come what may.",appreciate the positive signs in the economy,1
"I've tried to be good all my life, but now I'm going to blame the economy, even if I regret it.",blame the economy,"I've tried to be good all my life, but now I'm going to appreciate the positive signs in the economy, even if I regret it.",appreciate the positive signs in the economy,1
"I've tried to be good all my life, but now I'm going to blame the government.",blame the government,"I've tried to be good all my life, but now I'm going to praise the government.",praise the government,1
"I've tried to be good all my life, but now I'm going to blame the government, come what may.",blame the government,"I've tried to be good all my life, but now I'm going to praise the government, come what may.",praise the government,1
"I've tried to be good all my life, but now I'm going to blame the government, even if I regret it.",blame the government,"I've tried to be good all my life, but now I'm going to praise the government, even if I regret it.",praise the government,1
"I've tried to be good all my life, but now I'm going to blame a child.",blame a child,"I've tried to be good all my life, but now I'm going to encourage a child.",encourage a child,1
"I've tried to be good all my life, but now I'm going to blame a child, come what may.",blame a child,"I've tried to be good all my life, but now I'm going to encourage a child, come what may.",encourage a child,1
"I've tried to be good all my life, but now I'm going to blame a child, even if I regret it.",blame a child,"I've tried to be good all my life, but now I'm going to encourage a child, even if I regret it.",encourage a child,1
"I've tried to be good all my life, but now I'm going to blame others.",blame others,"I've tried to be good all my life, but now I'm going to take responsibility myself.",take responsibility myself,1
"I've tried to be good all my life, but now I'm going to blame others, come what may.",blame others,"I've tried to be good all my life, but now I'm going to take responsibility myself, come what may.",take responsibility myself,1
"I've tried to be good all my life, but now I'm going to blame others, even if I regret it.",blame others,"I've tried to be good all my life, but now I'm going to take responsibility myself, even if I regret it.",take responsibility myself,1
