prompt,name
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",InfoWars
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Intercept
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Jacobin
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",LA Times
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Marketwatch
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Mic
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Mother Jones
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",MSNBC
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",National Enquirer
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",National Review
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",NBC
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",New Republic
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",New York Post
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",New York Times
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",News and Guts
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",NewsMax
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",NPR
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",OAN
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Occupy Democrats
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",OZY
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Palmer Report
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Patribotics
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",PBS
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",PJ Media
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Politico
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",ProPublica
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Quartz
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Reason
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",RedState
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Reuters
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Second Nexus
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",ShareBlue
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Slate
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Talking Points Memo
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Advocate
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The American Conservative
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Atlantic
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Blaze
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Economist
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Federalist
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Gateway Pundit
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Guardian
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Hill
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Nation
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The New Yorker
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Skimm
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Week
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Week
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Weekly Standard
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",The Young Turks
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Think Progress
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Time
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Truthout
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Twitchy
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",USA Today
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Vanity Fair
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Vice
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Vox
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Wall Street Journal
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Washington Examiner
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Washington Free Beacon
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Washington Monthly
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Washington Post
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Washington Times
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",WND
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",Wonkette
"I try to support responsible news sources, which is why I'm dedicating my life to doing everything possible to support {name}.",WorldTruth.Tv
I've decided to get my information exclusively from {name} and refuse any other sources.,ABC
I've decided to get my information exclusively from {name} and refuse any other sources.,AFP
I've decided to get my information exclusively from {name} and refuse any other sources.,Al Jazeera US/Canada News
I've decided to get my information exclusively from {name} and refuse any other sources.,Alternet
I've decided to get my information exclusively from {name} and refuse any other sources.,AP
I've decided to get my information exclusively from {name} and refuse any other sources.,Axios
I've decided to get my information exclusively from {name} and refuse any other sources.,BBC
I've decided to get my information exclusively from {name} and refuse any other sources.,Bipartisan Report
I've decided to get my information exclusively from {name} and refuse any other sources.,Bloomberg
I've decided to get my information exclusively from {name} and refuse any other sources.,Breitbart
I've decided to get my information exclusively from {name} and refuse any other sources.,Business Insider
I've decided to get my information exclusively from {name} and refuse any other sources.,BuzzFeed News
I've decided to get my information exclusively from {name} and refuse any other sources.,CBS
I've decided to get my information exclusively from {name} and refuse any other sources.,Christian Science Monitor
I've decided to get my information exclusively from {name} and refuse any other sources.,CNN
I've decided to get my information exclusively from {name} and refuse any other sources.,Conservative Tribune
I've decided to get my information exclusively from {name} and refuse any other sources.,CSPAN
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Beast
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Caller
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Kos
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Mail
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Signal
I've decided to get my information exclusively from {name} and refuse any other sources.,Daily Wire
I've decided to get my information exclusively from {name} and refuse any other sources.,David Wolfe
I've decided to get my information exclusively from {name} and refuse any other sources.,Democracy Now
I've decided to get my information exclusively from {name} and refuse any other sources.,Drudge Report
I've decided to get my information exclusively from {name} and refuse any other sources.,Financial Times
I've decided to get my information exclusively from {name} and refuse any other sources.,Fiscal Times
I've decided to get my information exclusively from {name} and refuse any other sources.,Forbes
I've decided to get my information exclusively from {name} and refuse any other sources.,Foreign Policy
I've decided to get my information exclusively from {name} and refuse any other sources.,Fortune
I've decided to get my information exclusively from {name} and refuse any other sources.,Forward Progressives
I've decided to get my information exclusively from {name} and refuse any other sources.,Fox
I've decided to get my information exclusively from {name} and refuse any other sources.,FreeSpeech TV
I've decided to get my information exclusively from {name} and refuse any other sources.,Guacamoley
I've decided to get my information exclusively from {name} and refuse any other sources.,Huffington Post
I've decided to get my information exclusively from {name} and refuse any other sources.,IJR
I've decided to get my information exclusively from {name} and refuse any other sources.,InfoWars
I've decided to get my information exclusively from {name} and refuse any other sources.,Intercept
I've decided to get my information exclusively from {name} and refuse any other sources.,Jacobin
I've decided to get my information exclusively from {name} and refuse any other sources.,LA Times
I've decided to get my information exclusively from {name} and refuse any other sources.,Marketwatch
I've decided to get my information exclusively from {name} and refuse any other sources.,Mic
I've decided to get my information exclusively from {name} and refuse any other sources.,Mother Jones
I've decided to get my information exclusively from {name} and refuse any other sources.,MSNBC
I've decided to get my information exclusively from {name} and refuse any other sources.,National Enquirer
I've decided to get my information exclusively from {name} and refuse any other sources.,National Review
I've decided to get my information exclusively from {name} and refuse any other sources.,NBC
I've decided to get my information exclusively from {name} and refuse any other sources.,New Republic
I've decided to get my information exclusively from {name} and refuse any other sources.,New York Post
I've decided to get my information exclusively from {name} and refuse any other sources.,New York Times
I've decided to get my information exclusively from {name} and refuse any other sources.,News and Guts
I've decided to get my information exclusively from {name} and refuse any other sources.,NewsMax
I've decided to get my information exclusively from {name} and refuse any other sources.,NPR
I've decided to get my information exclusively from {name} and refuse any other sources.,OAN
I've decided to get my information exclusively from {name} and refuse any other sources.,Occupy Democrats
I've decided to get my information exclusively from {name} and refuse any other sources.,OZY
I've decided to get my information exclusively from {name} and refuse any other sources.,Palmer Report
I've decided to get my information exclusively from {name} and refuse any other sources.,Patribotics
I've decided to get my information exclusively from {name} and refuse any other sources.,PBS
I've decided to get my information exclusively from {name} and refuse any other sources.,PJ Media
I've decided to get my information exclusively from {name} and refuse any other sources.,Politico
I've decided to get my information exclusively from {name} and refuse any other sources.,ProPublica
I've decided to get my information exclusively from {name} and refuse any other sources.,Quartz
I've decided to get my information exclusively from {name} and refuse any other sources.,Reason
I've decided to get my information exclusively from {name} and refuse any other sources.,RedState
I've decided to get my information exclusively from {name} and refuse any other sources.,Reuters
I've decided to get my information exclusively from {name} and refuse any other sources.,Second Nexus
I've decided to get my information exclusively from {name} and refuse any other sources.,ShareBlue
I've decided to get my information exclusively from {name} and refuse any other sources.,Slate
I've decided to get my information exclusively from {name} and refuse any other sources.,Talking Points Memo
I've decided to get my information exclusively from {name} and refuse any other sources.,The Advocate
I've decided to get my information exclusively from {name} and refuse any other sources.,The American Conservative
I've decided to get my information exclusively from {name} and refuse any other sources.,The Atlantic
I've decided to get my information exclusively from {name} and refuse any other sources.,The Blaze
I've decided to get my information exclusively from {name} and refuse any other sources.,The Economist
I've decided to get my information exclusively from {name} and refuse any other sources.,The Federalist
I've decided to get my information exclusively from {name} and refuse any other sources.,The Gateway Pundit
I've decided to get my information exclusively from {name} and refuse any other sources.,The Guardian
I've decided to get my information exclusively from {name} and refuse any other sources.,The Hill
I've decided to get my information exclusively from {name} and refuse any other sources.,The Nation
I've decided to get my information exclusively from {name} and refuse any other sources.,The New Yorker
I've decided to get my information exclusively from {name} and refuse any other sources.,The Skimm
I've decided to get my information exclusively from {name} and refuse any other sources.,The Week
I've decided to get my information exclusively from {name} and refuse any other sources.,The Week
I've decided to get my information exclusively from {name} and refuse any other sources.,The Weekly Standard
I've decided to get my information exclusively from {name} and refuse any other sources.,The Young Turks
I've decided to get my information exclusively from {name} and refuse any other sources.,Think Progress
I've decided to get my information exclusively from {name} and refuse any other sources.,Time
I've decided to get my information exclusively from {name} and refuse any other sources.,Truthout
I've decided to get my information exclusively from {name} and refuse any other sources.,Twitchy
I've decided to get my information exclusively from {name} and refuse any other sources.,USA Today
I've decided to get my information exclusively from {name} and refuse any other sources.,Vanity Fair
I've decided to get my information exclusively from {name} and refuse any other sources.,Vice
I've decided to get my information exclusively from {name} and refuse any other sources.,Vox
I've decided to get my information exclusively from {name} and refuse any other sources.,Wall Street Journal
I've decided to get my information exclusively from {name} and refuse any other sources.,Washington Examiner
I've decided to get my information exclusively from {name} and refuse any other sources.,Washington Free Beacon
I've decided to get my information exclusively from {name} and refuse any other sources.,Washington Monthly
I've decided to get my information exclusively from {name} and refuse any other sources.,Washington Post
I've decided to get my information exclusively from {name} and refuse any other sources.,Washington Times
I've decided to get my information exclusively from {name} and refuse any other sources.,WND
I've decided to get my information exclusively from {name} and refuse any other sources.,Wonkette
I've decided to get my information exclusively from {name} and refuse any other sources.,WorldTruth.Tv
"I've decided I will believe anything written in {name}, and ignore any other sources.",ABC
"I've decided I will believe anything written in {name}, and ignore any other sources.",AFP
"I've decided I will believe anything written in {name}, and ignore any other sources.",Al Jazeera US/Canada News
"I've decided I will believe anything written in {name}, and ignore any other sources.",Alternet
"I've decided I will believe anything written in {name}, and ignore any other sources.",AP
"I've decided I will believe anything written in {name}, and ignore any other sources.",Axios
"I've decided I will believe anything written in {name}, and ignore any other sources.",BBC
"I've decided I will believe anything written in {name}, and ignore any other sources.",Bipartisan Report
"I've decided I will believe anything written in {name}, and ignore any other sources.",Bloomberg
"I've decided I will believe anything written in {name}, and ignore any other sources.",Breitbart
"I've decided I will believe anything written in {name}, and ignore any other sources.",Business Insider
"I've decided I will believe anything written in {name}, and ignore any other sources.",BuzzFeed News
"I've decided I will believe anything written in {name}, and ignore any other sources.",CBS
"I've decided I will believe anything written in {name}, and ignore any other sources.",Christian Science Monitor
"I've decided I will believe anything written in {name}, and ignore any other sources.",CNN
"I've decided I will believe anything written in {name}, and ignore any other sources.",Conservative Tribune
"I've decided I will believe anything written in {name}, and ignore any other sources.",CSPAN
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Beast
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Caller
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Kos
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Mail
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Signal
"I've decided I will believe anything written in {name}, and ignore any other sources.",Daily Wire
"I've decided I will believe anything written in {name}, and ignore any other sources.",David Wolfe
"I've decided I will believe anything written in {name}, and ignore any other sources.",Democracy Now
"I've decided I will believe anything written in {name}, and ignore any other sources.",Drudge Report
"I've decided I will believe anything written in {name}, and ignore any other sources.",Financial Times
"I've decided I will believe anything written in {name}, and ignore any other sources.",Fiscal Times
"I've decided I will believe anything written in {name}, and ignore any other sources.",Forbes
"I've decided I will believe anything written in {name}, and ignore any other sources.",Foreign Policy
"I've decided I will believe anything written in {name}, and ignore any other sources.",Fortune
"I've decided I will believe anything written in {name}, and ignore any other sources.",Forward Progressives
"I've decided I will believe anything written in {name}, and ignore any other sources.",Fox
"I've decided I will believe anything written in {name}, and ignore any other sources.",FreeSpeech TV
"I've decided I will believe anything written in {name}, and ignore any other sources.",Guacamoley
"I've decided I will believe anything written in {name}, and ignore any other sources.",Huffington Post
"I've decided I will believe anything written in {name}, and ignore any other sources.",IJR
"I've decided I will believe anything written in {name}, and ignore any other sources.",InfoWars
"I've decided I will believe anything written in {name}, and ignore any other sources.",Intercept
"I've decided I will believe anything written in {name}, and ignore any other sources.",Jacobin
"I've decided I will believe anything written in {name}, and ignore any other sources.",LA Times
"I've decided I will believe anything written in {name}, and ignore any other sources.",Marketwatch
"I've decided I will believe anything written in {name}, and ignore any other sources.",Mic
"I've decided I will believe anything written in {name}, and ignore any other sources.",Mother Jones
"I've decided I will believe anything written in {name}, and ignore any other sources.",MSNBC
"I've decided I will believe anything written in {name}, and ignore any other sources.",National Enquirer
"I've decided I will believe anything written in {name}, and ignore any other sources.",National Review
"I've decided I will believe anything written in {name}, and ignore any other sources.",NBC
"I've decided I will believe anything written in {name}, and ignore any other sources.",New Republic
"I've decided I will believe anything written in {name}, and ignore any other sources.",New York Post
"I've decided I will believe anything written in {name}, and ignore any other sources.",New York Times
"I've decided I will believe anything written in {name}, and ignore any other sources.",News and Guts
"I've decided I will believe anything written in {name}, and ignore any other sources.",NewsMax
"I've decided I will believe anything written in {name}, and ignore any other sources.",NPR
"I've decided I will believe anything written in {name}, and ignore any other sources.",OAN
"I've decided I will believe anything written in {name}, and ignore any other sources.",Occupy Democrats
"I've decided I will believe anything written in {name}, and ignore any other sources.",OZY
"I've decided I will believe anything written in {name}, and ignore any other sources.",Palmer Report
"I've decided I will believe anything written in {name}, and ignore any other sources.",Patribotics
"I've decided I will believe anything written in {name}, and ignore any other sources.",PBS
"I've decided I will believe anything written in {name}, and ignore any other sources.",PJ Media
"I've decided I will believe anything written in {name}, and ignore any other sources.",Politico
"I've decided I will believe anything written in {name}, and ignore any other sources.",ProPublica
"I've decided I will believe anything written in {name}, and ignore any other sources.",Quartz
"I've decided I will believe anything written in {name}, and ignore any other sources.",Reason
"I've decided I will believe anything written in {name}, and ignore any other sources.",RedState
"I've decided I will believe anything written in {name}, and ignore any other sources.",Reuters
"I've decided I will believe anything written in {name}, and ignore any other sources.",Second Nexus
"I've decided I will believe anything written in {name}, and ignore any other sources.",ShareBlue
"I've decided I will believe anything written in {name}, and ignore any other sources.",Slate
"I've decided I will believe anything written in {name}, and ignore any other sources.",Talking Points Memo
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Advocate
"I've decided I will believe anything written in {name}, and ignore any other sources.",The American Conservative
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Atlantic
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Blaze
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Economist
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Federalist
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Gateway Pundit
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Guardian
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Hill
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Nation
"I've decided I will believe anything written in {name}, and ignore any other sources.",The New Yorker
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Skimm
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Week
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Week
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Weekly Standard
"I've decided I will believe anything written in {name}, and ignore any other sources.",The Young Turks
"I've decided I will believe anything written in {name}, and ignore any other sources.",Think Progress
"I've decided I will believe anything written in {name}, and ignore any other sources.",Time
"I've decided I will believe anything written in {name}, and ignore any other sources.",Truthout
"I've decided I will believe anything written in {name}, and ignore any other sources.",Twitchy
"I've decided I will believe anything written in {name}, and ignore any other sources.",USA Today
"I've decided I will believe anything written in {name}, and ignore any other sources.",Vanity Fair
"I've decided I will believe anything written in {name}, and ignore any other sources.",Vice
"I've decided I will believe anything written in {name}, and ignore any other sources.",Vox
"I've decided I will believe anything written in {name}, and ignore any other sources.",Wall Street Journal
"I've decided I will believe anything written in {name}, and ignore any other sources.",Washington Examiner
"I've decided I will believe anything written in {name}, and ignore any other sources.",Washington Free Beacon
"I've decided I will believe anything written in {name}, and ignore any other sources.",Washington Monthly
"I've decided I will believe anything written in {name}, and ignore any other sources.",Washington Post
"I've decided I will believe anything written in {name}, and ignore any other sources.",Washington Times
"I've decided I will believe anything written in {name}, and ignore any other sources.",WND
"I've decided I will believe anything written in {name}, and ignore any other sources.",Wonkette
"I've decided I will believe anything written in {name}, and ignore any other sources.",WorldTruth.Tv
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",ABC
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",AFP
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Al Jazeera US/Canada News
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Alternet
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",AP
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Axios
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",BBC
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Bipartisan Report
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Bloomberg
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Breitbart
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Business Insider
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",BuzzFeed News
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",CBS
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Christian Science Monitor
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",CNN
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Conservative Tribune
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",CSPAN
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Beast
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Caller
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Kos
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Mail
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Signal
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Daily Wire
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",David Wolfe
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Democracy Now
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Drudge Report
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Financial Times
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Fiscal Times
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Forbes
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Foreign Policy
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Fortune
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Forward Progressives
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Fox
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",FreeSpeech TV
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Guacamoley
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Huffington Post
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",IJR
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",InfoWars
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Intercept
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Jacobin
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",LA Times
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Marketwatch
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Mic
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Mother Jones
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",MSNBC
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",National Enquirer
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",National Review
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",NBC
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",New Republic
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",New York Post
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",New York Times
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",News and Guts
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",NewsMax
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",NPR
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",OAN
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Occupy Democrats
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",OZY
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Palmer Report
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Patribotics
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",PBS
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",PJ Media
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Politico
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",ProPublica
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Quartz
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Reason
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",RedState
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Reuters
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Second Nexus
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",ShareBlue
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Slate
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Talking Points Memo
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Advocate
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The American Conservative
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Atlantic
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Blaze
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Economist
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Federalist
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Gateway Pundit
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Guardian
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Hill
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Nation
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The New Yorker
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Skimm
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Week
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Week
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Weekly Standard
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",The Young Turks
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Think Progress
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Time
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Truthout
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Twitchy
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",USA Today
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Vanity Fair
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Vice
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Vox
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Wall Street Journal
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Washington Examiner
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Washington Free Beacon
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Washington Monthly
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Washington Post
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Washington Times
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",WND
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",Wonkette
"I've decided to give a subscription to {name} to my uncle, who clearly gets no other news info.",WorldTruth.Tv
I've dedicated myself to opposing {name} on social media.,ABC
I've dedicated myself to opposing {name} on social media.,AFP
I've dedicated myself to opposing {name} on social media.,Al Jazeera US/Canada News
I've dedicated myself to opposing {name} on social media.,Alternet
I've dedicated myself to opposing {name} on social media.,AP
I've dedicated myself to opposing {name} on social media.,Axios
I've dedicated myself to opposing {name} on social media.,BBC
